# Accelerometer Data File
# Started @Wed Sep 20 13:23:02 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: MPU6500 Acceleration Sensor
# sensor Resolution: 5.985504E-4m/sec^2; Max Range: 19.6133; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.071 0.22 9.807 5
-0.084 0.222 9.822 5
-0.056 0.227 9.837 5
-0.059 0.239 9.85 5
-0.034 0.241 9.841 5
-0.035 0.241 9.832 5
-0.035 0.246 9.828 4
-0.05 0.234 9.806 5
-0.071 0.223 9.807 5
-0.041 0.223 9.814 5
-0.058 0.248 9.83 5
-0.078 0.245 9.865 5
-0.081 0.247 9.843 5
-0.078 0.224 9.84 5
-0.058 0.222 9.855 5
-0.058 0.232 9.841 5
-0.088 0.217 9.847 5
-0.088 0.223 9.858 5
-0.092 0.209 9.792 5
-0.062 0.234 9.819 5
-0.049 0.227 9.847 5
-0.061 0.242 9.853 5
-0.049 0.233 9.858 5
-0.049 0.233 9.858 5
-0.05 0.238 9.825 4
-0.054 0.243 9.835 6
-0.061 0.24 9.829 4
-0.061 0.216 9.818 5
-0.075 0.225 9.841 5
-0.062 0.223 9.844 5
-0.052 0.225 9.822 6
-0.052 0.217 9.835 4
-0.056 0.222 9.843 5
-0.056 0.234 9.837 5
-0.092 0.23 9.835 5
-0.095 0.247 9.822 5
-0.072 0.239 9.834 5
-0.074 0.226 9.84 5
-0.097 0.227 9.837 5
-0.078 0.225 9.869 5
-0.095 0.226 9.828 5
-0.072 0.24 9.868 5
-0.083 0.22 9.868 4
-0.068 0.237 9.843 5
-0.064 0.231 9.843 5
-0.06 0.223 9.822 5
-0.067 0.226 9.821 5
-0.058 0.217 9.847 5
-0.07 0.22 9.868 5
-0.089 0.237 9.856 5
-0.079 0.228 9.869 5
-0.066 0.219 9.855 5
-0.078 0.226 9.866 5
-0.056 0.22 9.821 5
-0.073 0.234 9.815 5
-0.068 0.246 9.816 5
-0.066 0.238 9.825 4
-0.068 0.241 9.835 5
